00016c	1	16756	FOXCONN
00016d	1	17254	CarrierComm Inc.
00016e	1	16756	Conklin Corporation
00016f	1	16756	Inkel Corp.
000170	1	16756	ESE Embedded System Engineer'g
000171	1	16756	Allied Data Technologies
000172	1	16756	TechnoLand Co., LTD.
000173	1	16756	AMCC
000174	1	16756	CyberOptics Corporation
000175	1	16756	Radiant Communications Corp.
000176	1	16756	Orient Silver Enterprises
000177	1	16756	EDSL
000178	1	16756	MARGI Systems, Inc.
000179	1	16756	WIRELESS TECHNOLOGY, INC.
00017a	1	16756	Chengdu Maipu Electric Industrial Co., Ltd.
00017b	1	16756	Heidelberger Druckmaschinen AG
00017c	1	16756	AG-E GmbH
00017d	1	16756	ThermoQuest
00017e	1	16756	ADTEK System Science Co., Ltd.
00017f	1	16756	Experience Music Project
000180	1	16756	AOpen, Inc.
000181	1	16756	Nortel Networks
000182	1	16756	DICA TECHNOLOGIES AG
000183	1	16756	ANITE TELECOMS
000184	1	16756	SIEB & MEYER AG
000185	1	16756	Hitachi Aloka Medical, Ltd.
000186	1	16756	Uwe Disch
000187	1	16756	I2SE GmbH
000188	1	16756	LXCO Technologies ag
000189	1	16756	Refraction Technology, Inc.
00018a	1	16756	ROI COMPUTER AG
00018b	1	16756	NetLinks Co., Ltd.
00018c	1	16756	Mega Vision
00018d	1	16756	AudeSi Technologies
00018e	1	16756	Logitec Corporation
00018f	1	16756	Kenetec, Inc.
000190	1	16756	SMK-M
000191	1	16756	SYRED Data Systems
000192	1	16756	Texas Digital Systems
000193	1	16756	Hanbyul Telecom Co., Ltd.
000194	1	16756	Capital Equipment Corporation
000195	1	16756	Sena Technologies, Inc.
000196	1	16756	Cisco Systems, Inc
000197	1	16756	Cisco Systems, Inc
000198	1	16756	Darim Vision
000199	1	16756	HeiSei Electronics
00019a	1	16756	LEUNIG GmbH
00019b	1	16756	Kyoto Microcomputer Co., Ltd.
00019c	1	19761	Lumentum
00019d	1	16756	E-Control Systems, Inc.
00019e	1	16756	ESS Technology, Inc.
00019f	1	16756	ReadyNet
0001a0	1	16756	Infinilink Corporation
0001a1	1	16756	Mag-Tek, Inc.
0001a2	1	16756	Logical Co., Ltd.
0001a3	1	16756	GENESYS LOGIC, INC.
0001a4	1	16756	Microlink Corporation
0001a5	1	16756	Nextcomm, Inc.
0001a6	1	16756	Scientific-Atlanta Arcodan A/S
0001a7	1	16756	UNEX TECHNOLOGY CORPORATION
0001a8	1	16756	Welltech Computer Co., Ltd.
0001a9	1	16756	BMW AG
0001aa	1	16756	Airspan Communications, Ltd.
0001ab	1	16756	Main Street Networks
0001ac	1	16756	Sitara Networks, Inc.
0001ad	1	16756	Coach Master International  d.b.a. CMI Worldwide, Inc.
0001ae	1	16756	Trex Enterprises
0001af	1	16756	Artesyn Embedded Technologies
0001b0	1	16756	Fulltek Technology Co., Ltd.
0001b1	1	16756	General Bandwidth
0001b2	1	16756	Digital Processing Systems, Inc.
0001b3	1	16756	Precision Electronic Manufacturing
0001b4	1	16756	Wayport, Inc.
0001b5	1	16756	Turin Networks, Inc.
0001b6	1	16756	SAEJIN T&M Co., Ltd.
0001b7	1	16756	Centos, Inc.
0001b8	1	16756	Netsensity, Inc.
0001b9	1	17528	SKF (U.K.) Limited
0001ba	1	16756	IC-Net, Inc.
0001bb	1	16756	Frequentis
0001bc	1	16756	Brains Corporation
0001bd	1	16756	Peterson Electro-Musical Products, Inc.
0001be	1	16756	Gigalink Co., Ltd.
0001bf	1	16756	Teleforce Co., Ltd.
0001c0	1	16756	CompuLab, Ltd.
0001c1	1	16756	Vitesse Semiconductor Corporation
0001c2	1	16756	ARK Research Corp.
0001c3	1	16756	Acromag, Inc.
0001c4	1	16756	NeoWave, Inc.
0001c5	1	16756	Simpler Networks
0001c6	1	16756	Quarry Technologies
0001c7	1	16756	Cisco Systems, Inc
0001c8	1	16756	CONRAD CORP.
0001c9	1	16756	Cisco Systems, Inc
0001ca	1	16756	Geocast Network Systems, Inc.
0001cb	1	16756	EVR
0001cc	1	20139	Brand Maker Enabler Inc.
0001cd	1	16756	ARtem
0001ce	1	16756	Custom Micro Products, Ltd.
0001cf	1	16756	Alpha Data Parallel Systems, Ltd.
0001d0	1	16756	VitalPoint, Inc.
0001d1	1	16756	CoNet Communications, Inc.
0001d2	1	16756	inXtron, Inc.
0001d3	1	16756	PAXCOMM, Inc.
0001d4	1	16756	Leisure Time, Inc.
0001d5	1	16756	HAEDONG INFO & COMM CO., LTD
0001d6	1	16756	manroland AG
0001d7	1	20242	F5 Inc.
0001d8	1	16756	Teltronics, Inc.
0001d9	1	16756	Sigma, Inc.
0001da	1	16756	WINCOMM Corporation
0001db	1	16756	Freecom Technologies GmbH
0001dc	1	16756	Activetelco
0001dd	1	16756	Avail Networks
0001de	1	16756	Trango Systems, Inc.
0001df	1	16756	ISDN Communications, Ltd.
0001e0	1	16756	Fast Systems, Inc.
0001e1	1	17022	Kinpo Electronics, Inc.
0001e2	1	16756	Ando Electric Corporation
0001e3	1	16756	Siemens AG
0001e4	1	16756	Sitera, Inc.
0001e5	1	16756	Supernet, Inc.
0001e6	1	16756	Hewlett Packard
0001e7	1	16756	Hewlett Packard
0001e8	1	16756	Force10 Networks, Inc.
0001e9	1	16756	Litton Marine Systems B.V.
0001ea	1	16756	Cirilium Corp.
0001eb	1	16756	C-COM Corporation
0001ec	1	16756	Ericsson Group
0001ed	1	16756	SETA Corp.
0001ee	1	16756	Comtrol Europe, Ltd.
0001ef	1	16756	Camtel Technology Corp.
0001f0	1	16756	Tridium, Inc.
0001f1	1	16756	Innovative Concepts, Inc.
0001f2	1	16756	Mark of the Unicorn, Inc.
0001f3	1	16756	QPS, Inc.
0001f4	1	16831	Enterasys
0001f5	1	16756	ERIM S.A.
0001f6	1	16756	Association of Musical Electronics Industry
0001f7	1	16756	Image Display Systems, Inc.
0001f8	1	16756	TEXIO TECHNOLOGY CORPORATION
0001f9	1	16756	TeraGlobal Communications Corp.
0001fa	1	16756	HOROSCAS
0001fb	1	16756	DoTop Technology, Inc.
0001fc	1	16756	Keyence Corporation
0001fd	1	16756	Digital Voice Systems, Inc.
0001fe	1	16756	DIGITAL EQUIPMENT CORPORATION
0001ff	1	16756	Data Direct Networks, Inc.
000200	1	16756	Net & Sys Co., Ltd.
000201	1	16756	IFM Electronic gmbh
000202	1	16756	Amino Communications, Ltd.
000203	1	16756	Woonsang Telecom, Inc.
000204	1	16756	Bodmann Industries Elektronik GmbH
000205	1	16756	Hitachi Denshi, Ltd.
000206	1	16756	Telital R&D Denmark A/S
000207	1	16756	VisionGlobal Network Corp.
000208	1	16756	Unify Networks, Inc.
000209	1	16756	Shenzhen SED Information Technology Co., Ltd.
00020a	1	16756	Gefran Spa
00020b	1	16756	Native Networks, Inc.
